value,value,value,value,value,value,value,value,value,suburbName
45252,45160,48229,47122,47854,54360,50816,49712,52152,BASS HILL
47711,50070,49657,51043,52007,51984,53455,54220,57611,GEORGES HALL
43382,44280,45334,45533,45717,46978,47730,49111,51992,YAGOONA
42331,43371,43915,44334,44708,46139,46852,47486,50388,BANKSTOWN
60084,61961,62616,65531,67575,71390,76087,76967,86855,DULWICH HILL
55579,58003,59313,62058,64947,66997,70126,73689,79417,MARRICKVILLE
49518,51522,51384,51491,53023,56924,55552,56741,61449,ARNCLIFFE
56107,59558,61434,63300,64396,66565,69658,71958,76048,CLEMTON PARK
50416,52451,53675,54461,56027,58342,59796,62577,70336,BARDWELL PARK
49496,52108,53428,56396,56666,59263,59567,61847,68113,KINGSGROVE
47326,48469,49458,50630,51242,53263,53535,54918,58966,BEVERLY HILLS
51395,53308,53694,54497,55741,57466,58492,60382,64097,LUGARNO
50280,51726,52082,53122,53858,55880,57741,58470,62294,PADSTOW
49782,51058,52206,52900,53633,56160,57072,58182,61049,REVESBY
53947,56275,57036,58295,58825,60985,62064,64216,68425,EAST HILLS
51217,53502,54887,55749,56967,81283,62546,61512,63888,MILPERRA
47035,48978,49472,50935,51558,52989,53971,55305,59886,BANKSIA
51486,52756,54590,55129,56033,57931,59897,61168,66306,BEVERLEY PARK
47847,48563,49040,50107,50054,51051,53511,54445,59455,ALLAWAH
60798,62724,66019,65010,66263,70087,70823,71896,76971,DOLLS POINT
43990,45269,46493,46075,45309,45993,46744,47569,52533,HURSTVILLE
65408,68124,69656,70221,71605,74457,75027,76610,80504,BLAKEHURST
50464,52077,52479,53660,53171,54185,55378,56286,61825,PENSHURST
61288,64143,65290,67915,68444,70737,73509,74979,81893,MORTDALE
63144,63614,65707,71112,70637,74577,73035,75611,82689,KANGAROO POINT
68830,72184,75058,79848,77487,79718,82899,85448,89726,CARAVAN HEAD
61963,64416,66410,69158,70130,73040,75808,78734,84210,BONNET BAY
61514,63114,65948,67047,68753,71916,73805,75095,79574,GYMEA
57784,60536,62363,66028,65044,68215,68736,69898,74893,MIRANDA
64334,72588,69491,72982,74623,78332,79800,82913,88563,CARINGBAH
69936,81251,76754,79351,80580,87190,86020,86610,94256,BUNDEENA
56132,60848,61827,61984,61613,65772,64976,64391,71720,KURNELL
56841,58981,60334,62451,63598,65639,68434,70181,74986,AUDLEY
55107,56531,58027,60136,60538,63842,65493,67262,70890,ENGADINE
60625,62372,63853,65146,66945,68717,70769,73600,76439,ALFORDS POINT
49316,50969,52578,53445,54054,56094,58377,59811,63289,BUCKETTY
50015,51867,53434,55328,56865,58646,60731,62047,67140,AVOCA BEACH
47441,48817,49543,50813,51823,53919,56022,57082,60759,BLACKWALL
45792,48040,48638,49263,50808,52790,55510,57562,63723,BOOKER BAY
52803,55528,56419,58412,59213,61412,61493,62970,66877,FOUNTAINDALE
47061,48750,49260,50444,50509,52145,53284,54849,58231,ALISON
57470,58927,60664,63051,65253,70537,68420,71288,78710,ERINA HEIGHTS
45329,46965,49754,49120,49815,51675,53323,55313,59339,BATEAU BAY
43651,44812,45407,45926,46282,48369,49879,50706,53629,BLUE HAVEN
42830,44093,44597,45693,46403,48232,49133,49874,53559,CANTON BEACH
46677,47738,47948,49344,49957,51179,51891,53616,55962,BALCOLYN
47006,48194,49800,50935,52819,53172,54552,55734,59558,COORANBONG
51284,52965,52314,50668,51489,54373,54361,56634,60618,WANGI WANGI
50366,50903,50869,51892,52389,53243,55911,57004,58019,BARNSLEY
55425,57200,55911,56457,56925,59067,60084,61614,68263,BELMONT
50454,51069,52622,52957,53042,55700,57781,59333,64379,BLACKSMITHS
58104,58666,59378,60264,59684,62147,64580,66131,70747,ELEEBANA
53481,55131,53499,53937,55435,55960,57386,58094,62908,ARCADIA VALE
49345,50162,50310,50959,52583,54631,56332,59352,62714,ARGENTON
50995,51460,52456,53210,53751,55472,57798,59223,62123,CAMERON PARK
48324,48891,48818,49727,50303,53415,54473,56157,58240,HOLMESVILLE
50730,51727,52527,52981,53104,55306,56633,58595,61030,BIRMINGHAM GARDENS
54541,55138,56303,57591,58322,60575,63427,65742,70033,ADAMSTOWN
54033,54968,55331,56004,56684,58787,61270,62567,67393,BENNETTS GREEN
72551,75109,75806,78210,80694,86197,88521,88201,96494,MEREWETHER
54663,53936,53902,56172,56498,58326,61395,61710,65921,BROADMEADOW
56508,55232,55542,58950,59789,61773,63786,64531,69562,MARYVILLE
51304,51950,54136,55133,57834,58626,60746,62701,67974,CARRINGTON
54858,55157,55787,56607,57046,58989,61364,62840,66666,FERN BAY
50969,51641,52426,54209,55428,59279,59914,62218,66632,ISLINGTON
48667,50397,51159,52562,55527,58047,58842,61437,67771,TIGHES HILL
48058,48694,49787,50251,50712,54137,55870,56727,60028,GEORGETOWN
49436,50742,51191,51856,52268,54257,55974,56516,59796,GLEN INNESLAMBTON
73910,86482,78733,77920,78477,86172,87823,86379,94555,BAR BEACH
56185,55058,56965,56050,59969,64751,71375,70416,67099,NEWCASTLE WEST
60234,61921,62862,65896,65016,67464,67826,73814,75758,HAMILTON
48331,48936,49339,50622,51131,53482,55379,57301,60922,KOORAGANG
60966,62523,63427,64681,66246,68243,70836,71613,77682,KOTARA EAST
38335,38275,38346,39853,39724,40319,40902,41778,43751,WINDALE
42639,43588,43001,44530,45152,46757,48175,48667,51204,SHORTLAND
33518,29811,27529,22119,20589,21054,21732,24608,24200,CALLAGHAN
40855,39369,42039,42092,42129,45396,51002,50392,55853,ALLYNBROOK
36488,38891,37284,38691,39797,41158,43225,42804,47106,MINIMBAH
47209,49124,49511,50766,51144,51389,53813,54118,57396,CORLETTE
50857,51705,49719,48743,48718,52073,52821,53579,54822,ANNA BAY
46498,47765,47752,49443,49884,50504,52774,55926,56791,SALAMANDER BAY
51648,52249,53295,54040,54366,56698,57920,59613,62833,CAMPVALE
44662,45829,46197,46614,46183,46321,47835,48645,51636,LEMON TREE PASSAGE
58540,59968,59084,58542,60168,62217,62653,63980,67405,ABERGLASSLYN
57462,57414,58114,57517,59029,60682,61489,63309,65682,BERRY PARK
51982,52771,52395,53181,53921,56507,58085,60085,62744,BERESFIELD
53722,54092,54496,54607,54864,57159,59022,60527,62121,ASHTONFIELD
46632,48176,47213,48598,48517,50051,50455,52451,55827,BALICKERA
52136,51564,51785,51542,51513,53119,54281,56014,58517,ABERDARE
48624,48591,49218,48823,49478,51039,53196,53590,56050,ABERMAIN
